#,玩家昵称,Bot名,分数
1,yue,發發發發發發發發,353.00293863932274
2,tribbiani,conv,337.0008821614584
3,intellouis,菜鸡四十三号,336.0011515299478
4,namespace_bilibili,Suphx,334.0002091471354
5,MCC_gameAI,芝麻开花,333.00299072265625
6,TONY,一通乱打,333.00263346354177
7,zbww,QwQ,333.0018855794271
8,Solitude21 (随机出牌样例程序),Mahjong_Studios,332.0007649739583
9,metaphysics,雀圣2022,330.002069498698
10,dark,数理逻辑,329.000810546875
11,TokisakiKurumi (凑齐十四张牌就算成功),mahjongNeXt,328.0022135416668
12,Louison,test2,327.00238932291677
13,zhmomo,tess,327.00051513671895
14,llkkcc,aug34,326.0013728841146
15,humanfy,humanfy,325.9997322591148
16,davis0520,panda,324.00033121744787
17,计30班_看瓜少年和猹,看瓜少年和猹,322.0020808919271
18,铁血丹心,铁血丹心,322.00129720052087
19,无敌大猪,MahjongKing,321.0029345703125
20,Tosey,断钥酒,321.0019799804688
21,啊咪咪小熊,好好熊,321.0013045247394
22,komqaq (qaz),神锋无影,321.0012654622396
23,累计铳满 (Horrigue_),合理放铳,319.00129882812496
24,Asahi,Densenet,318.99605550130207
25,计24班_又没豆子了,ymdzl,318.002227376302